Index: Init, Total -- indiv
38293: 3060.0, 3059.9979999999996 -- [  281.068  2778.93 ]
38295: 3060.0, 3060.001 -- [  145.041  2914.96 ]
38300: 3060.0, 3059.9979999999996 -- [ 2652.43    407.568]
38322: 3060.0, 3059.998 -- [  253.598  2806.4  ]
38441: 3060.0, 1735.4582 -- [   79.6382  1655.82  ]
38442: 3060.0, 3059.996 -- [ 2851.16    208.836]
38716: 3060.0, 2149.77 -- [  663.13  1486.64]
38742: 3060.0, 2356.7125 -- [   26.9125  2329.8   ]
39007: 3060.0, 2901.8916 -- [ 2864.4       37.4916]
39196: 3060.0, 2448.234 -- [ 2023.8     424.434]
39265: 3060.0, 2797.0323 -- [   37.7423  2759.29  ]
39512: 3060.0, 2350.6349999999998 -- [ 2177.08    173.555]
39554: 3060.0, 2897.5679999999998 -- [  128.258  2769.31 ]
39623: 3060.0, 3060.004 -- [ 2429.14    630.864]
39654: 3060.0, 868.303 -- [ 768.101  100.202]
39716: 3060.0, 3059.999 -- [  804.184  2051.77    204.045]
39912: 3060.0, 3059.999 -- [ 2881.64    178.359]
39998: 3060.0, 3059.9970000000003 -- [ 2804.51    255.487]
40191: 3060.0, 3059.997 -- [  260.437  2799.56 ]
40281: 3060.0, 1386.20559 -- [    4.05559  1382.15   ]
40357: 3060.0, 2711.129 -- [  231.449  2479.68 ]
40599: 3060.0, 1960.107 -- [  329.387  1630.72 ]
40668: 3060.0, 2794.81 -- [ 1646.44  1148.37]
41064: 3060.0, 1596.3726 -- [   55.7926  1540.58  ]
41083: 3060.0, 2678.069 -- [  102.819  2575.25 ]
41126: 3060.0, 2938.228 -- [  128.255  2037.16    772.813]
41133: 3060.0, 3059.997 -- [  214.007  2845.99 ]
41209: 3060.0, 3060.0009 -- [ 2960.75      99.2509]
41259: 3060.0, 407.03099999999995 -- [ 271.816  135.215]
41591: 3060.0, 2507.4867 -- [ 2470.35      37.1367]
41667: 3060.0, 3059.997 -- [ 2729.75    330.247]
41764: 3060.0, 3059.998 -- [ 2902.63    157.368]
41775: 3060.0, 2190.959 -- [  223.029  1967.93 ]
41808: 3060.0, 3060.004 -- [  143.944  2916.06 ]
41898: 3060.0, 2608.749 -- [ 2198.73    410.019]
41965: 3060.0, 2278.2345 -- [   72.9345  2205.3   ]
42019: 3060.0, 2423.8500000000004 -- [ 2243.55   180.3 ]
42065: 3060.0, 2397.0820000000003 -- [ 2250.59    146.492]
42193: 3060.0, 2947.1884 -- [   56.4284  2890.76  ]
42355: 3060.0, 2076.314 -- [  229.384  1846.93 ]
42665: 3060.0, 1517.1828 -- [   99.5428  1417.64  ]
42800: 3060.0, 2692.928 -- [ 2506.94    185.988]
42831: 3060.0, 3059.996 -- [  277.866  2782.13 ]
42842: 3060.0, 2182.2519300000004 -- [ 2180.03        2.22193]
42992: 3060.0, 3059.999 -- [ 2800.7     259.299]
43129: 3060.0, 2880.4930000000004 -- [  171.983  2708.51 ]
43160: 3060.0, 3060.0009999999997 -- [  181.941  2878.06 ]
43323: 3060.0, 387.9799 -- [ 343.255    44.7249]
43385: 3060.0, 3060.001 -- [  138.081  2921.92 ]
43404: 3060.0, 2424.487 -- [  301.417  2123.07 ]
43471: 3060.0, 1567.1548 -- [   26.9248  1540.23  ]
43495: 3060.0, 3060.0 -- [ 2901.11   158.89]
43557: 3060.0, 407.5955 -- [ 377.029    30.5665]
43585: 3060.0, 1403.658 -- [ 1103.31    300.348]
43691: 3060.0, 1600.1 -- [ 664.139  935.961]
43840: 3060.0, 3060.003 -- [ 2879.15    180.853]
43872: 3060.0, 3059.999 -- [  153.152  2758.12    148.727]
43895: 3060.0, 2860.222 -- [ 2436.57    423.652]
43990: 3060.0, 3060.004 -- [  298.364  2761.64 ]
44108: 3060.0, 2835.576 -- [ 2644.67    190.906]
44144: 3060.0, 2964.3070000000002 -- [   54.907  2909.4  ]
44281: 3060.0, 463.07910000000004 -- [  48.8511  414.228 ]
44302: 3060.0, 2636.744 -- [ 2429.81    206.934]
44315: 3060.0, 1917.65 -- [ 1732.47   185.18]
44513: 3060.0, 2687.9014 -- [ 2676.02      11.8814]
44705: 3060.0, 3059.995 -- [  167.015  2892.98 ]
